sha256,threat_level,md5,sha1,family,size,type,domains,processes,files
27be73b27ee43d271adc8fd0741b6954adc6fd6d43620e00edc3cdb91a570cdc,1,05ae4acf8062ac686051d27e5a661863,2a47ac13d962bfe2bc5f698cc495fceb79353d35,,626688,EXE,,c747.tmp,c747.tmp
c9accfc527c0cda058d0dc71f4562f4bf8d391b583b691da70c0ca83b955b06d,2,758080fe214b2926a1977dcf1c8894ef,52c5263fdcc370ad3521420dcc1f3ce9a1c0f938,,684032,EXE,officeclient.microsoft.com|nexus.officeapps.live.com,c3fb.tmp|winword.exe|taskhost.exe,5d69db9a-e1ed-45d6-81f3-9b4481c1330a|{db87a666-c29f-423a-8ebc-b71a095fceb8} (0) - 1696 - winword.exe - otelemediumcost.dat|~df6f2417f9eeea9901.tmp|{db87a666-c29f-423a-8ebc-b71a095fceb8} (1) - 1696 - winword.exe - otelemediumcost.dat|~$ckoo-c9accfc527c0cda058d0dc71f4562f4bf8d391b583b691da70c0ca83b955b06d.docx|{db87a666-c29f-423a-8ebc-b71a095fceb8} (0) - 1696 - winword.exe - otele.dat|{db87a666-c29f-423a-8ebc-b71a095fceb8} - oprocsessid.dat|~dfecc7593a17f48420.tmp|~wrs{26522c83-6e11-45f2-8fef-5158c763b789}.tmp|c3fb.tmp|{db87a666-c29f-423a-8ebc-b71a095fceb8} (1) - 1696 - winword.exe - otele.dat|~dfc86a9f6e49109e27.tmp
405326425494348c955dae17c97df98bdbd13d34f7a761a8fdd5b825e25b4030,1,0121882194975fd37f9a4b58504814e8,8acd95db7d507d67ef713aef451570071a069037,,3832444,EXE,pastebin.com|ocsp.digicert.com|1fichier.com,irsetup.exe,dat.dat|irwf9d4.tmp|irsetup.dat|irwcad1.tmp|irsetup.exe|6bada8974a10c4bd62cc921d13e43b18_78d977680f0a854594ceee125bc2e56e|lua5.1.dll|irimg2.jpg|6bada8974a10c4bd62cc921d13e43b18_78d977680f0a854594ceee125bc2e56e|irimg1.jpg
eba0f7180f2b48b69683eeb580c9bfa5c49bf72617197ce25063c761d53f41c6,1,545cb57e9ea07f797476d38d1e35eff9,c9c31bcfa803b064ddf23821361dbdf4821680fa,,15360,EXE,2no.co|jom.diregame.live|leselesp.info|moonlabmediacompany.com|ww.hackacademy.me|privacytools.xyz|cdn.discordapp.com,,
8acee6024a0096c474da204e04f308cd70aa143ef20cc7a731f0b58f382b51bc,0,9ebd801ac27389a98d694aadf1c0fe2b,ca62d14514df9418ed30de5d65fab7efc027de2d,,67584,EXE,,wermgr.exe|rundll32.exe|rundll32.exe,
b5a2c11f138d078f0bb72b7e0e92abffa776753adaa4a205c5d3a8f28b107040,2,fb24dc78180b104312d0073b2ae586c3,1106a4aab7666f388096b07c4fb8183de898d5b5,,105386,EXE,,mobsync.exe,
551ef5c263eaf246454dee4e4f76e8bf2546360261f39fec838b22d6b743553c,1,0e7844c503465165ea4bd2ecf24b4c07,524034292d0a243237325f5afdeaf9c96bcefcb5,,1856000,EXE,,c5ef.tmp,c5ef.tmp
dc51c29d63fd8c09785560f64902d0a1956090ac2caa7e86eb2825052f926128,1,745cc6f053cbc0e1e6aa26831b612a35,08796ac1317ec7f82dea8cd7d91fb1318a637b7c,,212992,EXE,,cmd.exe|nnu.exe|werfault.exe|cmd.exe|werfault.exe|hlv.exe|cmd.exe|werfault.exe|oroz.exe|cmd.exe|werfault.exe|muz.exe|cmd.exe|werfault.exe|tatee.exe|cmd.exe|werfault.exe|xfsayzu.exe|cmd.exe|werfault.exe|vqjfda.exe|cmd.exe|werfault.exe|becsru.exe|cmd.exe|werfault.exe|qzamgue.exe|cmd.exe|werfault.exe|episrl.exe|cmd.exe|werfault.exe|gysndep.exe|cmd.exe|werfault.exe|oga.exe|cmd.exe|werfault.exe|quggqhk.exe|cmd.exe|werfault.exe|nnxlvih.exe|cmd.exe|werfault.exe|jkw.exe|cmd.exe|werfault.exe|siq.exe|cmd.exe|werfault.exe|trmahy.exe|cmd.exe|werfault.exe|ohhfg.exe|cmd.exe|werfault.exe|pfchs.exe|cmd.exe|werfault.exe|aqb.exe|cmd.exe|werfault.exe|qrwnvp.exe|cmd.exe|werfault.exe|yubpomg.exe|cmd.exe|werfault.exe|zsnqzhp.exe|cmd.exe|werfault.exe|ynfbjtq.exe|cmd.exe|werfault.exe|hlacuwi.exe|cmd.exe|werfault.exe|hoefmt.exe|cmd.exe|werfault.exe|vfmlp.exe|cmd.exe|werfault.exe|wssbmj.exe|cmd.exe|werfault.exe|xqe.exe|cmd.exe|werfault.exe|uggbkh.exe|cmd.exe|werfault.exe|zbyitre.exe|cmd.exe|werfault.exe|izsrfvn.exe|cmd.exe|werfault.exe|pfmf.exe|cmd.exe|werfault.exe|mqdc.exe|cmd.exe|werfault.exe|qwcgs.exe|cmd.exe|werfault.exe|aoyxnn.exe|cmd.exe|werfault.exe|wfaw.exe|cmd.exe|werfault.exe|kvi.exe|cmd.exe|werfault.exe|vomcxu.exe|cmd.exe|werfault.exe|ubsnlqs.exe|cmd.exe|werfault.exe|jpybbv.exe|taskhost.exe|cmd.exe|werfault.exe|kyol.exe|cmd.exe|werfault.exe|vbgfesx.exe|cmd.exe|werfault.exe|ezagpog.exe|cmd.exe|werfault.exe|zez.exe|cmd.exe|werfault.exe|mcndplt.exe|cmd.exe|werfault.exe|evjvd.exe|cmd.exe|werfault.exe|hle.exe|cmd.exe|werfault.exe|zeaj.exe|cmd.exe|werfault.exe|cxrsol.exe|cmd.exe|werfault.exe|lvxuj.exe|cmd.exe|werfault.exe|jgpqv.exe|cmd.exe|werfault.exe|hyyn.exe|cmd.exe|werfault.exe|zrcnvzi.exe|cmd.exe|werfault.exe|qmnxe.exe|cmd.exe|werfault.exe|qvonsn.exe|cmd.exe|werfault.exe|jiz.exe|cmd.exe|werfault.exe|qwsy.exe|cmd.exe|werfault.exe|vhlcn.exe|cmd.exe|werfault.exe|jxsi.exe|cmd.exe|werfault.exe|vapoh.exe|cmd.exe|werfault.exe|ivpvrtf.exe|cmd.exe|werfault.exe|pjvjhy.exe|cmd.exe|werfault.exe|wpo.exe|cmd.exe|werfault.exe|wszpfd.exe|cmd.exe|werfault.exe|diomy.exe|cmd.exe|werfault.exe|ptlrq.exe|cmd.exe|werfault.exe|euvk.exe|cmd.exe|werfault.exe|yawu.exe|cmd.exe|werfault.exe|xarhi.exe|cmd.exe|werfault.exe|odjr.exe|cmd.exe|werfault.exe|ohg.exe|cmd.exe|werfault.exe|cxwanbn.exe|cmd.exe|werfault.exe|znwkeu.exe|cmd.exe|werfault.exe|qnedl.exe|cmd.exe|werfault.exe|nwa.exe|cmd.exe|werfault.exe|rrhldd.exe|cmd.exe|werfault.exe|pcyihep.exe|cmd.exe,yubpomg.exe.bat|nnu.exe|qzamgue.exe|zez.exe|pfchs.exe.bat|qnedl.exe|ptlrq.exe.bat|ohg.exe.bat|pjvjhy.exe.bat|qrwnvp.exe.bat|tatee.exe.bat|kyol.exe|nnu.exe.bat|ptlrq.exe|qnedl.exe.bat|qwsy.exe|quggqhk.exe.bat|vqjfda.exe.bat|becsru.exe.bat|cxrsol.exe|hlv.exe|xcys.exe.bat|nnxlvih.exe.bat|odjr.exe|oga.exe|zez.exe.bat|jkw.exe|lvxuj.exe|qwcgs.exe.bat|lvxuj.exe.bat|muz.exe|vbgfesx.exe|wssbmj.exe.bat|diomy.exe|yubpomg.exe|nfmojpz.exe.bat|zbyitre.exe|zbyitre.exe.bat|vapoh.exe|nwa.exe.bat|jiz.exe|vfmlp.exe|vomcxu.exe.bat|xarhi.exe|cxwanbn.exe|jgpqv.exe.bat|gysndep.exe|htxf.exe|kdiolg.exe|pfmf.exe|ezagpog.exe|siq.exe.bat|yawu.exe|hlacuwi.exe|xqe.exe|evjvd.exe|oroz.exe.bat|quggqhk.exe|mqdc.exe|becsru.exe|wfaw.exe.bat|ivpvrtf.exe.bat|jkw.exe.bat|amyis.exe.bat|qwsy.exe.bat|zsnqzhp.exe|ohhfg.exe.bat|uggbkh.exe.bat|zeaj.exe.bat|pfmf.exe.bat|htxf.exe.bat|uggbkh.exe|aoyxnn.exe|episrl.exe.bat|zsnqzhp.exe.bat|ubsnlqs.exe|kvi.exe|xcys.exe|hlv.exe.bat|qmnxe.exe|vomcxu.exe|trmahy.exe|xfjc.exe|diomy.exe.bat|ynfbjtq.exe.bat|trmahy.exe.bat|mcndplt.exe|qwcgs.exe|jpybbv.exe|hle.exe|msyryff.exe|ohhfg.exe|hoefmt.exe|hyyn.exe|znwkeu.exe.bat|zeaj.exe|rrhldd.exe|jgpqv.exe|kyol.exe.bat|qmnxe.exe.bat|qvonsn.exe.bat|euvk.exe.bat|wfaw.exe|jiz.exe.bat|xfjc.exe.bat|mqdc.exe.bat|mcndplt.exe.bat|cxwanbn.exe.bat|pjvjhy.exe|xfsayzu.exe|ynfbjtq.exe|znwkeu.exe|hoefmt.exe.bat|ubsnlqs.exe.bat|evjvd.exe.bat|tatee.exe|msyryff.exe.bat|zrcnvzi.exe|aqb.exe.bat|jxsi.exe.bat|kdiolg.exe.bat|xfsayzu.exe.bat|wszpfd.exe|wpo.exe|wssbmj.exe|rrhldd.exe.bat|gysndep.exe.bat|wpo.exe.bat|aoyxnn.exe.bat|pcyihep.exe|siq.exe|hlacuwi.exe.bat|wszpfd.exe.bat|cxrsol.exe.bat|ohg.exe|kvi.exe.bat|zrcnvzi.exe.bat|nwa.exe|vhlcn.exe.bat|episrl.exe|qvonsn.exe|muz.exe.bat|nfmojpz.exe|hyyn.exe.bat|euvk.exe|vapoh.exe.bat|jpybbv.exe.bat|odjr.exe.bat|pcyihep.exe.bat|qrwnvp.exe|vbgfesx.exe.bat|ivpvrtf.exe|amyis.exe|aqb.exe|hle.exe.bat|vhlcn.exe|qzamgue.exe.bat|yawu.exe.bat|izsrfvn.exe.bat|vfmlp.exe.bat|xqe.exe.bat|vqjfda.exe|izsrfvn.exe|xarhi.exe.bat|pfchs.exe|oroz.exe|ezagpog.exe.bat|oga.exe.bat|jxsi.exe|nnxlvih.exe
d0bf9b327680fe66bc501d5b2cfe5c644516e0afec658203dd4577b262e43718,0,b5ec77ac4f7752a0260422e7457bfd68,62916e12d8b2ed3e6d6d86d1c67d66a2581f41cc,,1058136,EXE,,119k8.exe|343w2.exe|4gpn8.exe|8f96q.exe|9t35i.exe|o9869.exe|e5eg0.exe|716dh.exe|i08n6.exe|88z13.exe|zw7z2.exe|m68gf.exe|d3z1q.exe|k2gs0.exe|hi83c.exe|1z79r.exe|3anmz.exe|71g6h.exe|716li.exe|f4lm5.exe|4h3h8.exe|m88z7.exe|28lf8.exe|v3kve.exe|81hvh.exe|lmdq0.exe|p5h56.exe|6lt3m.exe|65jv5.exe|bzoa8.exe|0txbh.exe|40yxx.exe|3kbsy.exe|8zoa8.exe|3g7bk.exe|r1wb9.exe|1zs8u.exe|p0e76.exe|l8872.exe|qj7qr.exe|b9q2y.exe|nyi86.exe|zds8c.exe|gw205.exe|8yi2f.exe|hl250.exe|roy2g.exe|2ae9j.exe|4tu14.exe|llp7o.exe|58p3l.exe|774b3.exe|53r89.exe|taskhost.exe|0u1gi.exe|79r77.exe|rilyb.exe|6j0d7.exe|dkz2q.exe|t73w7.exe|76842.exe|ld4rd.exe|14gbe.exe|6dm5q.exe|720bb.exe|h7c59.exe|20l5o.exe|wfs6b.exe|ns408.exe|e8rjl.exe|5vp99.exe|o5y3e.exe|ov5h6.exe|56afj.exe|73q8u.exe|s90y4.exe|u5zgg.exe|ur754.exe|i348t.exe|1an3t.exe|3184e.exe|l951i.exe|8s6d4.exe|4qunl.exe|4lf69.exe|jn995.exe|bak2r.exe|714g2.exe|gm612.exe|i6891.exe|ivmug.exe|8c951.exe|zraq8.exe|aa5p5.exe,e8rjl.exe|f4lm5.exe|9t35i.exe|l8872.exe|m68gf.exe|zraq8.exe|4tu14.exe|3g7bk.exe|73q8u.exe|58p3l.exe|714g2.exe|qj7qr.exe|zds8c.exe|4hle7.exe|65jv5.exe|119k8.exe|v3kve.exe|zw7z2.exe|1zs8u.exe|1z79r.exe|i348t.exe|l951i.exe|3anmz.exe|716dh.exe|8yi2f.exe|h7c59.exe|14gbe.exe|w5321.exe|4h3h8.exe|d3z1q.exe|u5zgg.exe|4ff2g.exe|ov5h6.exe|720bb.exe|ld4rd.exe|716li.exe|3n4i5.exe|m88z7.exe|llp7o.exe|sw755.exe|e5eg0.exe|4gpn8.exe|k2gs0.exe|8c951.exe|ivmug.exe|bak2r.exe|rilyb.exe|0txbh.exe|gm612.exe|71g6h.exe|76842.exe|56afj.exe|i08n6.exe|lmdq0.exe|nn6v2.exe|ns408.exe|vm81y.exe|8s6d4.exe|0u1gi.exe|p0e76.exe|5vp99.exe|wfs6b.exe|t73w7.exe|b9q2y.exe|3184e.exe|6j0d7.exe|nyi86.exe|1an3t.exe|88z13.exe|s90y4.exe|p5h56.exe|8f96q.exe|343w2.exe|8zoa8.exe|4lf69.exe|gw205.exe|3kbsy.exe|aa5p5.exe|4qunl.exe|2ae9j.exe|roy2g.exe|6dm5q.exe|o5y3e.exe|81hvh.exe|28lf8.exe|6lt3m.exe|ur754.exe|hl250.exe|53r89.exe|iyj04.exe|dkz2q.exe|774b3.exe|bzoa8.exe|i6891.exe|jn995.exe|hi83c.exe|o9869.exe|40yxx.exe|79r77.exe|20l5o.exe|r1wb9.exe
119a5cfcc589d860c4e8d75cd1232b554729fec8d87594b5f47e76f1cee0de19,2,c3aba7d2c52afb4588900d091143e295,468051b17901aad95bd9a53a8dea467c6cf02355,,13869750,EXE,www.blackievirus.com,wermgr.exe|wscript.exe,123.exe|help2.vbs|ad[1].htm|xe2.ini
